year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2006,FORD,F-350 SUPER DUTY,XL,Truck,automatic,1ftww33p16ea38819,oh,1,80930,blue,gray,gateway one lending & finance,17050,12250,Tue Jan 06 2015 04:00:00 GMT-0800 (PST),1/6/2015
2006,FORD,MUSTANG,Deluxe,Coupe,manual,1zvft80n465177333,in,19,118139,red,black,santander consumer,4650,4700,Thu Jan 08 2015 02:10:00 GMT-0800 (PST),1/8/2015
2006,FORD,ESCAPE,XLS,SUV,automatic,1fmyu02z96kc86507,nc,32,173158,blue,gray,dt inventory,2750,1800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST),1/13/2015
2006,FORD,EXPLORER,XLT,SUV,automatic,1fmeu63ex6ua05319,ca,23,155979,gray,gray,kia of cerritos,3850,4500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,EXPLORER,XLS,SUV,automatic,1fmeu72e16ua36885,nc,29,144682,blue,tan,nextgear capital,4275,3700,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2006,FORD,FUSION,SE,Sedan,automatic,3fafp07z56r245594,in,27,89532,red,black,santander consumer,3600,4100,Thu Jan 08 2015 02:10:00 GMT-0800 (PST),1/8/2015
2006,FORD,EXPLORER,XLS,SUV,,1fmeu72e66ub51224,oh,19,105536,white,gray,ge fleet services for itself/servicer,5275,3600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,F-250 SUPER DUTY,Lariat,Truck,automatic,1ftsw21p86eb13284,pa,43,69196,—,tan,blaise alexander chevrolet buick inc,18300,21000,Fri Jan 02 2015 09:30:00 GMT-0800 (PST),1/2/2015
2006,FORD,FREESTYLE,Limited,Hatchback,automatic,1fmdk061x6ga25401,ne,23,83888,burgundy,tan,woodhouse ford inc,4975,4500,Thu Jan 08 2015 11:00:00 GMT-0800 (PST),1/8/2015
2006,FORD,F-150,STX,Truck,,1ftrf12w06na34092,nc,49,150416,white,gray,crossroads ford of indian trail,4675,6000,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2006,FORD,ESCAPE,XLS,SUV,automatic,1fmyu92z96ka48967,nc,19,138663,gray,gray,united auto credit/irvine,2275,2100,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,FREESTAR,SE,Minivan,automatic,2fmza51646ba44297,va,28,108348,silver,gray,mcmb financial,1900,2400,Thu Jan 15 2015 01:20:00 GMT-0800 (PST),1/15/2015
2006,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n265187191,in,1,111575,blue,gray,chrysler capital,5875,1900,Thu Jan 08 2015 12:30:00 GMT-0800 (PST),1/8/2015
2006,FORD,F-250 SUPER DUTY,Lariat,Truck,automatic,1ftsw21p66eb31587,pa,38,154713,gray,tan,autocelli inc,11800,14500,Fri Jan 02 2015 09:15:00 GMT-0800 (PST),1/2/2015
2006,FORD,EXPLORER,XLT,SUV,,1fmeu73e26ua82353,md,21,212262,gold,gray,ford motor credit company llc pd,1750,3600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,FOCUS,ZX4 SES,Sedan,,1fafp34n36w182124,ca,29,116789,green,gray,kia of cerritos,2600,3000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,ESCAPE,Limited,SUV,,1fmyu04146kc42776,nc,28,107621,silver,black,united auto credit/irvine,5775,5800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvht85h865207008,ca,26,88358,black,black,wells fargo dealer services,8400,7200,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2006,FORD,MUSTANG,Standard,Coupe,automatic,1zvft80n165185650,ca,19,146935,silver,black,wells fargo dealer services,4100,3400,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2005,FORD,F-150,FX4,Truck,,1ftpw14515fb63639,pa,42,86481,black,black,adcock brothers inc,11850,15100,Fri Jan 02 2015 09:30:00 GMT-0800 (PST),1/2/2015
2005,FORD,EXPLORER SPORT TRAC,XLT,Truck,,1fmdu67k45ub82541,nc,44,128170,black,gray,crossroads ford of indian trail,5875,6700,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2005,FORD,EXPLORER,Limited,SUV,,1fmzu75w25za48809,ga,26,116564,white,tan,capital one auto finance,4275,3000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),1/20/2015
2005,FORD,F-150,FX4,Truck,automatic,1ftpx04555kc02179,fl,21,78594,blue,gray,wells fargo financial acceptance,9375,10500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2005,FORD,EXPEDITION,XLT NBX,SUV,automatic,1fmfu16565la16695,nc,27,112445,blue,gray,north state acceptance,4000,3500,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2005,FORD,EXCURSION,Eddie Bauer,SUV,automatic,1fmsu45px5ea74462,nv,45,58599,white,black,unique autos,25400,28750,Fri Jan 09 2015 11:45:00 GMT-0800 (PST),1/9/2015
2005,FORD,ESCAPE,XLT,SUV,,1fmyu03175kd38109,on,27,175111,black,gray,cars on credit,1650,1350,Tue Jan 06 2015 02:00:00 GMT-0800 (PST),1/6/2015
2005,FORD,EXCURSION,Limited,SUV,automatic,1fmsu43p85eb76507,mo,39,102324,black,tan,ford motor credit company,14650,18300,Tue Jan 06 2015 03:00:00 GMT-0800 (PST),1/6/2015
2005,FORD,ESCAPE,XLT,SUV,automatic,1fmyu93115ka12245,nc,34,151577,white,gray,nextgear capital,2650,3600,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2005,FORD,F-150,Lariat,Truck,automatic,1ftpw12565fb39498,tx,19,101182,black,—,capital one auto finance,9575,5900,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2005,FORD,F-150,XLT,Truck,,1ftpw12585ke61468,nc,37,296330,white,gray,crossroads ford of indian trail,3525,4700,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2005,FORD,F-350 SUPER DUTY,Lariat,Truck,automatic,1ftww33p45ea22094,pa,43,102282,white,beige,adcock brothers inc,16150,20000,Fri Jan 02 2015 09:30:00 GMT-0800 (PST),1/2/2015
2005,FORD,F-350 SUPER DUTY,Lariat,Truck,automatic,1ftww33p05ec30750,nc,29,106906,gray,—,crossroads ford of fuquay-varina,15700,17400,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2005,FORD,ESCAPE,XLT,SUV,,1fmyu931x5ka34793,pa,46,67257,white,beige,autocelli inc,5225,7900,Fri Jan 02 2015 09:15:00 GMT-0800 (PST),1/2/2015
2005,FORD,F-150,FX4,Truck,automatic,1ftpx145x5nb45658,mn,25,113932,silver,gray,jpmorgan chase bank n.a.,7750,8000,Wed Jan 07 2015 10:30:00 GMT-0800 (PST),1/7/2015
2005,FORD,MUSTANG,GT Deluxe,Convertible,automatic,1zvht85h355179746,pa,26,28025,gold,black,bmw of annapolis/mini of annapolis,11400,15200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST),1/23/2015
2005,FORD,FREESTAR,SEL,Minivan,automatic,2fmza52275ba65204,nc,32,122908,gray,tan,remarketing by ge/manheim north carolina,2525,1400,Mon Jan 05 2015 01:30:00 GMT-0800 (PST),1/5/2015
2005,FORD,F-150,XLT,Truck,automatic,1ftrf14wx5na17148,nj,19,86808,white,beige,46 vans & trucks llc,8250,6000,Wed Jan 14 2015 09:30:00 GMT-0800 (PST),1/14/2015
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n455216253,pa,2,58597,silver,gray,dodge of paramus inc,6275,6200,Fri Jan 02 2015 09:00:00 GMT-0800 (PST),1/2/2015
2005,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsx21505ec79017,pa,39,62428,gray,gray,crossroad motors llc,12750,15000,Fri Jan 02 2015 09:15:00 GMT-0800 (PST),1/2/2015
