year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44443f324621,pa,34,62117,black,black,big tree auto brokers,2625,4500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5210660,fl,4,60864,black,black,the hertz corporation,13650,14900,Fri Mar 06 2015 01:15:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4d5227373,fl,38,60762,silver,black,the hertz corporation,13950,14700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2d5237268,fl,39,64273,blue,black,the hertz corporation,13850,14200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8d5229806,fl,37,60347,silver,beige,the hertz corporation,13950,14000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7d5227383,fl,41,64047,white,black,the hertz corporation,13850,13600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em4d5211321,pa,38,63769,blue,black,northeast leasing,13650,14000,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0d5272410,fl,32,60294,gray,black,the hertz corporation,13950,14000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5222017,fl,35,59681,silver,black,the hertz corporation,13950,13900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9d5237347,fl,38,61586,black,black,the hertz corporation,13900,14000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9d5245271,fl,44,59131,white,black,the hertz corporation,14300,15700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7d5237430,fl,33,65334,red,black,the hertz corporation,13800,13800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2d5250165,fl,41,56338,silver,black,the hertz corporation,14550,15700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff5e5235273,oh,44,2854,red,black,us bank,28200,32000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em5e5238335,fl,25,39311,silver,gray,ez rent a car inc,16850,15700,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5238392,fl,27,31824,red,black,ez rent a car inc,17950,14900,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5285884,fl,24,27731,red,black,avis corporation,20600,19400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5238332,fl,31,34344,silver,black,ez rent a car inc,17600,16700,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5238315,fl,38,38299,blue,black,ez rent a car inc,17000,17600,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT),2015-03-10,3
2005,FORD,MUSTANG,GT Premium,Convertible,manual,1zvft85h455214950,mo,27,124307,yellow,black,napleton's mid rivers kia,6500,6400,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT),2015-03-10,3
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44443f401116,il,19,115690,silver,gray,remarketing by ge/manheim arena illinois,2300,2500,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT),2015-03-10,3
2002,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a62y106120,ma,38,87389,black,black,metro ford,9475,10000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT),2015-03-10,3
2009,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n095104256,mo,35,96534,silver,gray,tdaf remarketing,7750,7600,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5248002,il,27,32463,white,black,ford motor credit company,20300,20000,Tue Mar 24 2015 04:00:00 GMT-0700 (PDT),2015-03-24,3
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em0d5237253,pa,35,67478,blue,black,northeast leasing,13750,11600,Fri Mar 13 2015 02:00:00 GMT-0700 (PDT),2015-03-13,3
2007,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84nx75301603,ga,22,170074,white,gray,peoples credit company inc,3650,3200,Tue Mar 24 2015 02:30:00 GMT-0700 (PDT),2015-03-24,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5203709,tn,39,56574,red,—,wholesale inc # 2,14650,3800,Wed Mar 25 2015 03:30:00 GMT-0700 (PDT),2015-03-25,3
