year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2012,FORD,EXPEDITION,EL Limited,SUV,,1fmjk2a56cef28617,nj,48,63270,black,black,ford motor credit company llc,27300,29000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,EXPLORER,XLT,SUV,automatic,1fmhk7d93cga58562,nj,35,36887,black,black,ford motor credit company llc,22800,23100,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,EXPLORER,Limited,SUV,automatic,1fmhk8f89cga78034,nj,43,36046,gray,brown,ford motor credit company llc,27800,28100,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,F-150,Lariat,Truck,automatic,1ftfw1et2ckd03095,md,5,27630,white,tan,ford motor credit company llc,32800,34900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),3/3/2015
2012,FORD,F-150,XLT,Truck,,1ftfw1ef5cfb18588,ab,35,93508,red,gray,south fort chevrolet ltd,21500,21400,Thu Mar 05 2015 03:30:00 GMT-0800 (PST),3/5/2015
2012,FORD,EXPLORER,Limited,SUV,automatic,1fmhk8f85cga18753,nj,27,42878,gray,black,ford motor credit company llc,27000,26700,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Hatchback,automatic,1fahp3k20cl123207,tn,33,61341,—,black,santander consumer,8900,9100,Tue Mar 03 2015 02:30:00 GMT-0800 (PST),3/3/2015
2012,FORD,FIESTA,SE,Sedan,automatic,3fadp4bj5cm152499,nj,39,35729,gray,black,ford motor credit company llc,9050,8200,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FIESTA,SE,Sedan,automatic,3fadp4bj2cm140312,tn,39,23180,—,gray,ford motor credit company llc,9450,10400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2012,FORD,FIESTA,SES,Hatchback,automatic,3fadp4fj0cm110381,nj,49,62319,red,black,ford motor credit company llc,7875,9100,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f23cl398998,tn,29,15844,—,gray,ford motor credit company llc,10850,11000,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FLEX,SEL,Hatchback,automatic,2fmgk5cc8cbd05532,tn,4,44165,—,gray,ford motor credit company llc,19050,19000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f2xcl322873,nj,37,34219,gray,gray,ford motor credit company llc,9900,8500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FLEX,SEL,Hatchback,automatic,2fmhk6cc5cbd00136,nj,39,35933,white,black,ford motor credit company llc,20900,21500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f2xcl259838,nj,28,54627,gray,beige,ford motor credit company llc,8850,8600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f29cl462204,tn,39,40500,silver,beige,manheim nashville,9575,9700,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f21cl462083,tn,39,66577,gray,black,ford motor credit company llc,8225,8300,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2012,FORD,FLEX,SEL,Hatchback,automatic,2fmhk6cc2cbd17136,nj,28,49125,gray,beige,ford motor credit company llc,19650,18400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FIESTA,SE,Sedan,automatic,3fadp4bj6cm158070,tn,38,19783,gray,black,ford motor credit company llc,9650,9200,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f22cl299220,tn,39,46045,red,gray,ford motor credit company llc,9300,10600,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,F-250 SUPER DUTY,King Ranch,Truck,automatic,1ft7w2btxcec87208,ca,41,56923,brown,brown,reliance motors llc,39600,42000,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),3/5/2015
2012,FORD,FOCUS,SE,Hatchback,automatic,1fahp3k24cl137756,nj,47,29519,black,purple,ford motor credit company llc,10450,12600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FIESTA,SE,Sedan,automatic,3fadp4bj2cm169731,nj,46,17057,gray,black,ford motor credit company llc,9750,10300,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,S,Sedan,automatic,1fahp3e25cl247209,tn,26,86046,—,gray,ford motor credit company llc,5550,5700,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f27cl218860,nj,26,24606,gray,gray,ford motor credit company llc,10400,9300,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FLEX,SE,Hatchback,automatic,2fmgk5bc7cbd20329,tn,39,32023,red,gray,ford motor credit company llc,17600,18500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha5cr261985,nc,44,45855,gray,gray,ge fleet services for itself/servicer,11100,11000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),3/3/2015
