year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2003,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a13y111162,fl,33,48561,white,red,tdaf remarketing,11600,13600,Tue Feb 24 2015 01:00:00 GMT-0800 (PST),2015-02-24,2
2000,FORD,MUSTANG,Base,Convertible,,1fafp4446yf105926,va,2,210581,black,tan,purple heart,1400,1500,Thu Feb 26 2015 03:50:00 GMT-0800 (PST),2015-02-26,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8d5204016,nj,36,60900,white,black,dollar thrifty auto group,13400,13900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),2015-02-25,2
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6c5273351,ca,39,50707,red,black,dtg operations inc,12800,12300,Thu Feb 26 2015 03:30:00 GMT-0800 (PST),2015-02-26,2
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8enxa5175462,mn,39,93096,gold,black,southern remarketing solutions/regions bank,8600,9500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST),2015-02-25,2
2007,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n775253638,ca,19,90325,gray,black,stg auto group,6125,6800,Wed Feb 25 2015 04:00:00 GMT-0800 (PST),2015-02-25,2
2007,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n775201426,in,24,94424,blue,gray,navy federal credit union,6225,4600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),2015-02-26,2
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n455249195,tn,38,122245,red,black,sullivan auto group llc,5400,6200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST),2015-02-25,2
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44424f117596,nv,2,130158,white,—,titlemax of fort apache rd. - nv 15,2500,2950,Thu Feb 26 2015 03:00:00 GMT-0800 (PST),2015-02-26,2
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44493f391909,ca,29,81717,blue,beige,billion dodge chrysler jeep,3125,3200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST),2015-02-25,2
2001,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp44451f121394,mi,29,88594,green,tan,prime acceptance corp,2575,3000,Thu Feb 26 2015 01:30:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3e5306616,il,4,18659,black,black,enterprise/ars,19150,21600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5287099,fl,46,6801,black,black,fiserv/citizens one auto finance,20800,20600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5296829,ca,2,29841,red,black,enterprise vehicle exchange / tra / rental / tulsa,17600,11900,Wed Feb 25 2015 07:05:00 GMT-0800 (PST),2015-02-25,2
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff7e5307381,tn,46,10363,red,black,midtown motors,29900,29300,Wed Feb 25 2015 02:30:00 GMT-0800 (PST),2015-02-25,2
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff9e5323257,nv,48,24555,red,gray,ars/budget rac of utah & idaho,24600,25800,Fri Feb 27 2015 04:00:00 GMT-0800 (PST),2015-02-27,2
2011,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff8b5131680,az,26,44549,black,black,dealer network group auto wholesale,22700,21500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST),2015-02-26,2
